Period,Austria,Belgium,Cyprus,Germany,Estonia,Spain,Finland,France,Greece,Croatia,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Portugal,Slovenia,Slovakia


2021Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020Q3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020Q2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020Q1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0
2019Q4,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0
2019Q3,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0
2019Q2,0,0,0,0,0,0,0,0,3,,0,0,0,0,0,0,0,0,0,0
2019Q1,0,0,0,0,0,0,0,0,3,,0,0,0,0,0,0,0,0,0,0
2018Q4,0,0,0,0,0,0,0,0,3,,0,1,0,0,0,0,0,0,0,0
2018Q3,0,0,0,0,0,0,0,0,3,,0,0,0,0,0,0,0,0,0,0
2018Q2,0,0,0,0,0,0,0,0,4,,0,0,0,0,0,0,0,0,0,0
2018Q1,0,0,0,0,0,0,0,0,4,,0,0,0,0,0,0,0,0,0,0
