Date,AAA yields,All ratings
31/12/21,0.242084,1.17316
30/12/21,0.240966,1.173817
29/12/21,0.238169,1.126074
28/12/21,0.195326,1.104228
27/12/21,0.193249,1.115695
24/12/21,0.19935,1.123791
23/12/21,0.19944,1.123404
22/12/21,0.147382,1.090073
21/12/21,0.153966,1.052986
20/12/21,0.076168,0.945396
17/12/21,0.045284,0.935412
16/12/21,0.082526,0.99625
15/12/21,0.042111,0.915471
13/12/21,0.028635,0.919506
10/12/21,0.038855,0.935971
09/12/21,0.03348,0.98411
08/12/21,0.030924,0.978556
07/12/21,-0.008907,0.944664
06/12/21,0.001882,0.949255
03/12/21,0.027618,0.961847
02/12/21,0.025652,0.965939
01/12/21,0.05397,1.004474
30/11/21,0.073822,1.006217
29/11/21,0.164961,1.096998
26/11/21,0.138914,1.056335
25/11/21,0.22555,1.167164
24/11/21,0.284848,1.226396
23/11/21,0.262718,1.165136
22/11/21,0.167364,1.053584
19/11/21,0.153003,1.015015
18/11/21,0.219636,1.081572
17/11/21,0.261229,1.113533
16/11/21,0.270033,1.100725
15/11/21,0.230606,1.055322
12/11/21,0.235435,1.054577
11/11/21,0.238106,1.044383
10/11/21,0.199007,1.021489
09/11/21,0.196449,0.986482
08/11/21,0.292681,1.051977
05/11/21,0.248303,1.027817
04/11/21,0.33128,1.081265
03/11/21,0.328899,1.142294
02/11/21,0.345858,1.128075
01/11/21,0.342839,1.159248
29/10/21,0.338301,1.145329
28/10/21,0.317039,1.061075
27/10/21,0.336641,1.037806
26/10/21,0.43395,1.112156
25/10/21,0.457634,1.124683
22/10/21,0.454797,1.14794
21/10/21,0.495692,1.166981
20/10/21,0.487827,1.13538
19/10/21,0.453141,1.160956
18/10/21,0.426471,1.101047
15/10/21,0.46441,1.147707
14/10/21,0.452807,1.102059
13/10/21,0.509963,1.153729
12/10/21,0.587347,1.252141
11/10/21,0.579359,1.220464
08/10/21,0.544552,1.182897
07/10/21,0.510953,1.167474
06/10/21,0.489774,1.145879
05/10/21,0.488296,1.14559
04/10/21,0.472933,1.14638
01/10/21,0.424379,1.094548
30/09/21,0.464681,1.120794
29/09/21,0.416619,1.070521
28/09/21,0.470096,1.103107
27/09/21,0.421084,1.079308
24/09/21,0.438864,1.085886
23/09/21,0.350425,1.006073
22/09/21,0.310063,0.96697
21/09/21,0.296474,0.961216
20/09/21,0.330298,0.977293
17/09/21,0.368517,1.018248
16/09/21,0.34887,1.017438
15/09/21,0.294591,0.964899
14/09/21,0.279437,0.916979
13/09/21,0.272977,0.930911
10/09/21,0.261661,0.910766
09/09/21,0.262416,0.913472
08/09/21,0.281588,0.996766
07/09/21,0.293656,1.023834
06/09/21,0.230594,0.958912
03/09/21,0.255198,0.982238
02/09/21,0.20204,0.938287
01/09/21,0.206304,0.941565
31/08/21,0.161819,0.915445
30/08/21,0.145091,0.871424
27/08/21,0.172205,0.908565
26/08/21,0.169202,0.910782
25/08/21,0.138049,0.865834
24/08/21,0.066419,0.805546
23/08/21,0.06988,0.806543
20/08/21,0.037387,0.771762
19/08/21,0.047996,0.794749
18/08/21,0.062029,0.795268
17/08/21,0.065965,0.805968
16/08/21,0.04807,0.766255
13/08/21,0.074584,0.793853
12/08/21,0.101126,0.813364
11/08/21,0.100131,0.817047
10/08/21,0.085133,0.780804
09/08/21,0.092906,0.796293
06/08/21,0.115042,0.82151
05/08/21,0.069174,0.772825
04/08/21,0.072088,0.790936
03/08/21,0.097816,0.802115
02/08/21,0.140854,0.832402
30/07/21,0.15971,0.873296
29/07/21,0.17375,0.895444
28/07/21,0.179,0.905243
27/07/21,0.149555,0.873059
26/07/21,0.196858,0.899954
23/07/21,0.164821,0.884372
22/07/21,0.18345,0.90781
21/07/21,0.18516,0.917786
20/07/21,0.143134,0.900876
19/07/21,0.1665,0.904472
16/07/21,0.236278,0.981995
15/07/21,0.253285,0.998916
14/07/21,0.289749,1.023046
13/07/21,0.289692,1.036844
12/07/21,0.31264,1.052535
09/07/21,0.31821,1.06959
08/07/21,0.267371,1.01781
07/07/21,0.291282,1.010277
06/07/21,0.38172,1.072434
05/07/21,0.42987,1.13
02/07/21,0.416398,1.110044
01/07/21,0.446135,1.130649
30/06/21,0.447771,1.149635
29/06/21,0.499874,1.187645
28/06/21,0.488497,1.186826
25/06/21,0.490251,1.193621
24/06/21,0.473899,1.154217
23/06/21,0.474591,1.160687
22/06/21,0.505305,1.200092
21/06/21,0.474163,1.190038
18/06/21,0.446667,1.166185
17/06/21,0.489825,1.175404
16/06/21,0.477408,1.1685
15/06/21,0.474313,1.16716
14/06/21,0.461989,1.146606
11/06/21,0.42063,1.119488
10/06/21,0.489582,1.164461
09/06/21,0.452737,1.134586
08/06/21,0.501212,1.186852
07/06/21,0.569834,1.240114
04/06/21,0.523351,1.196582
03/06/21,0.557406,1.21205
02/06/21,0.545729,1.191174
01/06/21,0.561402,1.197124
31/05/21,0.569761,1.203931
28/05/21,0.571464,1.206989
27/05/21,0.568259,1.207977
26/05/21,0.529511,1.171111
25/05/21,0.588588,1.247357
24/05/21,0.6393,1.352598
21/05/21,0.627458,1.278031
20/05/21,0.657474,1.319377
19/05/21,0.681748,1.342348
18/05/21,0.658497,1.33969
17/05/21,0.659966,1.310284
14/05/21,0.623065,1.256612
13/05/21,0.653903,1.306688
12/05/21,0.652365,1.238169
11/05/21,0.604963,1.207272
10/05/21,0.548949,1.158526
07/05/21,0.520969,1.177275
06/05/21,0.523839,1.122508
05/05/21,0.512861,1.109703
04/05/21,0.483232,1.11484
03/05/21,0.535347,1.12796
30/04/21,0.528919,1.118476
29/04/21,0.547636,1.137782
28/04/21,0.46851,1.049675
27/04/21,0.452227,1.016585
26/04/21,0.432866,0.997458
23/04/21,0.433899,1.000686
22/04/21,0.408113,0.986604
21/04/21,0.416173,1.001031
20/04/21,0.468852,1.052237
19/04/21,0.485604,1.0555
16/04/21,0.456906,1.024064
15/04/21,0.416415,1.002236
14/04/21,0.406209,1.022389
13/04/21,0.394386,1.004866
12/04/21,0.39727,1.014691
09/04/21,0.39164,1.000582
08/04/21,0.318222,0.953614
07/04/21,0.359178,0.995656
06/04/21,0.369734,0.996933
01/04/21,0.353253,0.973733
31/03/21,0.368194,0.99434
30/03/21,0.406413,1.026509
29/03/21,0.361451,0.979721
26/03/21,0.325331,0.943033
25/03/21,0.276437,0.921138
24/03/21,0.332359,0.956398
23/03/21,0.342914,0.974308
22/03/21,0.390568,1.011298
19/03/21,0.401541,1.025986
18/03/21,0.426156,1.031833
17/03/21,0.369795,0.998381
16/03/21,0.295555,0.905492
15/03/21,0.343857,0.950153
12/03/21,0.338088,0.946994
11/03/21,0.266058,0.875037
10/03/21,0.286701,0.941042
09/03/21,0.291281,0.921697
08/03/21,0.334676,0.976378
05/03/21,0.326906,0.983398
04/03/21,0.294663,0.963551
03/03/21,0.316528,0.983815
02/03/21,0.284092,0.948109
01/03/21,0.249389,0.907973
26/02/21,0.315627,0.988484
25/02/21,0.364794,1.034855
24/02/21,0.35162,1.012584
23/02/21,0.324021,0.958447
22/02/21,0.256265,0.8948
19/02/21,0.29224,0.900099
18/02/21,0.258796,0.883906
17/02/21,0.220551,0.828406
16/02/21,0.223894,0.796416
15/02/21,0.174953,0.760465
